"STATISTIC Label","Quarter","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2015Q4","All bedrooms","All property types","Dublin","Euro","1297.4"
"RTB Average Monthly Rent Report","2016Q1","All bedrooms","All property types","Dublin","Euro","1309.77"
"RTB Average Monthly Rent Report","2016Q2","All bedrooms","All property types","Dublin","Euro","1331.55"
"RTB Average Monthly Rent Report","2016Q3","All bedrooms","All property types","Dublin","Euro","1377.38"
"RTB Average Monthly Rent Report","2016Q4","All bedrooms","All property types","Dublin","Euro","1398.98"
"RTB Average Monthly Rent Report","2017Q1","All bedrooms","All property types","Dublin","Euro","1423.52"
"RTB Average Monthly Rent Report","2017Q2","All bedrooms","All property types","Dublin","Euro","1450.4"
"RTB Average Monthly Rent Report","2017Q3","All bedrooms","All property types","Dublin","Euro","1501.64"
"RTB Average Monthly Rent Report","2017Q4","All bedrooms","All property types","Dublin","Euro","1523.88"
"RTB Average Monthly Rent Report","2018Q1","All bedrooms","All property types","Dublin","Euro","1551.27"
"RTB Average Monthly Rent Report","2018Q2","All bedrooms","All property types","Dublin","Euro","1573.91"
"RTB Average Monthly Rent Report","2018Q3","All bedrooms","All property types","Dublin","Euro","1623.51"
"RTB Average Monthly Rent Report","2018Q4","All bedrooms","All property types","Dublin","Euro","1637.71"
"RTB Average Monthly Rent Report","2019Q1","All bedrooms","All property types","Dublin","Euro","1654.86"
"RTB Average Monthly Rent Report","2019Q2","All bedrooms","All property types","Dublin","Euro","1672.69"
"RTB Average Monthly Rent Report","2019Q3","All bedrooms","All property types","Dublin","Euro","1704.6"
"RTB Average Monthly Rent Report","2019Q4","All bedrooms","All property types","Dublin","Euro","1704.69"
"RTB Average Monthly Rent Report","2020Q1","All bedrooms","All property types","Dublin","Euro","1723.67"
"RTB Average Monthly Rent Report","2020Q2","All bedrooms","All property types","Dublin","Euro","1720.82"
"RTB Average Monthly Rent Report","2020Q3","All bedrooms","All property types","Dublin","Euro","1744.09"
"RTB Average Monthly Rent Report","2020Q4","All bedrooms","All property types","Dublin","Euro","1733.37"
"RTB Average Monthly Rent Report","2021Q1","All bedrooms","All property types","Dublin","Euro","1741.03"
"RTB Average Monthly Rent Report","2021Q2","All bedrooms","All property types","Dublin","Euro","1745.09"
"RTB Average Monthly Rent Report","2021Q3","All bedrooms","All property types","Dublin","Euro","1773.27"
"RTB Average Monthly Rent Report","2021Q4","All bedrooms","All property types","Dublin","Euro","1774.75"
"RTB Average Monthly Rent Report","2022Q1","All bedrooms","All property types","Dublin","Euro","1811.88"
"RTB Average Monthly Rent Report","2022Q2","All bedrooms","All property types","Dublin","Euro","1835.22"
"RTB Average Monthly Rent Report","2022Q3","All bedrooms","All property types","Dublin","Euro","1871.91"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin","Euro","1891.93"
"RTB Average Monthly Rent Report","2023Q1","All bedrooms","All property types","Dublin","Euro","1925.79"
"RTB Average Monthly Rent Report","2023Q2","All bedrooms","All property types","Dublin","Euro","1952.32"
"RTB Average Monthly Rent Report","2023Q3","All bedrooms","All property types","Dublin","Euro","1994.4"
"RTB Average Monthly Rent Report","2023Q4","All bedrooms","All property types","Dublin","Euro","2015.91"
"RTB Average Monthly Rent Report","2024Q1","All bedrooms","All property types","Dublin","Euro","2065.29"
