"STATISTIC Label","Quarter","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2013Q3","One bed","All property types","Dublin","Euro","762.53"
"RTB Average Monthly Rent Report","2013Q4","One bed","All property types","Dublin","Euro","777.59"
"RTB Average Monthly Rent Report","2014Q1","One bed","All property types","Dublin","Euro","800.44"
"RTB Average Monthly Rent Report","2014Q2","One bed","All property types","Dublin","Euro","818.67"
"RTB Average Monthly Rent Report","2014Q3","One bed","All property types","Dublin","Euro","840.43"
"RTB Average Monthly Rent Report","2014Q4","One bed","All property types","Dublin","Euro","864.92"
"RTB Average Monthly Rent Report","2015Q1","One bed","All property types","Dublin","Euro","884.25"
"RTB Average Monthly Rent Report","2015Q2","One bed","All property types","Dublin","Euro","900.15"
"RTB Average Monthly Rent Report","2015Q3","One bed","All property types","Dublin","Euro","925.17"
"RTB Average Monthly Rent Report","2015Q4","One bed","All property types","Dublin","Euro","947.94"
"RTB Average Monthly Rent Report","2016Q1","One bed","All property types","Dublin","Euro","968.82"
"RTB Average Monthly Rent Report","2016Q2","One bed","All property types","Dublin","Euro","984.74"
"RTB Average Monthly Rent Report","2016Q3","One bed","All property types","Dublin","Euro","1010.5"
"RTB Average Monthly Rent Report","2016Q4","One bed","All property types","Dublin","Euro","1035.19"
"RTB Average Monthly Rent Report","2017Q1","One bed","All property types","Dublin","Euro","1063.45"
"RTB Average Monthly Rent Report","2017Q2","One bed","All property types","Dublin","Euro","1081.93"
"RTB Average Monthly Rent Report","2017Q3","One bed","All property types","Dublin","Euro","1108.5"
"RTB Average Monthly Rent Report","2017Q4","One bed","All property types","Dublin","Euro","1136.1"
"RTB Average Monthly Rent Report","2018Q1","One bed","All property types","Dublin","Euro","1165.45"
"RTB Average Monthly Rent Report","2018Q2","One bed","All property types","Dublin","Euro","1181.46"
"RTB Average Monthly Rent Report","2018Q3","One bed","All property types","Dublin","Euro","1210.27"
"RTB Average Monthly Rent Report","2018Q4","One bed","All property types","Dublin","Euro","1222.07"
"RTB Average Monthly Rent Report","2019Q1","One bed","All property types","Dublin","Euro","1246.22"
"RTB Average Monthly Rent Report","2019Q2","One bed","All property types","Dublin","Euro","1257.71"
"RTB Average Monthly Rent Report","2019Q3","One bed","All property types","Dublin","Euro","1276.43"
"RTB Average Monthly Rent Report","2019Q4","One bed","All property types","Dublin","Euro","1285.46"
"RTB Average Monthly Rent Report","2020Q1","One bed","All property types","Dublin","Euro","1316.09"
"RTB Average Monthly Rent Report","2020Q2","One bed","All property types","Dublin","Euro","1314.34"
"RTB Average Monthly Rent Report","2020Q3","One bed","All property types","Dublin","Euro","1322.47"
"RTB Average Monthly Rent Report","2020Q4","One bed","All property types","Dublin","Euro","1317.16"
"RTB Average Monthly Rent Report","2021Q1","One bed","All property types","Dublin","Euro","1324.71"
"RTB Average Monthly Rent Report","2021Q2","One bed","All property types","Dublin","Euro","1320.86"
"RTB Average Monthly Rent Report","2021Q3","One bed","All property types","Dublin","Euro","1334.61"
"RTB Average Monthly Rent Report","2021Q4","One bed","All property types","Dublin","Euro","1346.13"
"RTB Average Monthly Rent Report","2022Q1","One bed","All property types","Dublin","Euro","1379.82"
"RTB Average Monthly Rent Report","2022Q2","One bed","All property types","Dublin","Euro","1391.72"
"RTB Average Monthly Rent Report","2022Q3","One bed","All property types","Dublin","Euro","1412.73"
"RTB Average Monthly Rent Report","2022Q4","One bed","All property types","Dublin","Euro","1439.44"
"RTB Average Monthly Rent Report","2023Q1","One bed","All property types","Dublin","Euro","1477.88"
"RTB Average Monthly Rent Report","2023Q2","One bed","All property types","Dublin","Euro","1500.92"
"RTB Average Monthly Rent Report","2023Q3","One bed","All property types","Dublin","Euro","1534.08"
"RTB Average Monthly Rent Report","2023Q4","One bed","All property types","Dublin","Euro","1567.93"
"RTB Average Monthly Rent Report","2024Q1","One bed","All property types","Dublin","Euro","1626.59"
